Precinct Name,PRCT,TOTVOTING,USPRSR,USPRSDFL,USPRSGP,Year,VTDID (not),VTDID
BLACKHOOF TWP,30,496,184,299,0,2008,270090030,
CARLTON,35,425,135,278,2,2008,270090035,
CLOQUET W-1,40,1503,540,924,2,2008,270090040,
CLOQUET W-2,45,1114,316,770,4,2008,270090045,
CLOQUET W-3,50,1090,322,741,3,2008,270090050,
CLOQUET W-4,55,1200,390,790,0,2008,270090055,
CLOQUET W-5 P-1,60,1124,423,674,4,2008,270090060,
CLOQUET W-5 P-2,65,304,33,265,2,2008,270090065,
CLEAR CREEK UNORG,68,71,27,42,1,2008,270090068,
CORONA UNORG,70,78,25,47,0,2008,270090070,
CROMWELL,75,99,35,57,0,2008,270090075,
EAGLE TWP,80,341,139,193,1,2008,270090080,
HOLYOKE TWP,85,125,54,67,1,2008,270090085,
KALEVALA TWP,90,190,76,106,1,2008,270090090,
KETTLE RIVER,95,82,26,49,2,2008,270090095,
LAKEVIEW TWP,100,105,37,65,0,2008,270090100,
MAHTOWA TWP,105,362,127,226,0,2008,270090105,
MOOSE LAKE,110,728,233,468,0,2008,270090110,
MOOSE LAKE TWP,115,589,263,308,1,2008,270090115,
PROGRESS UNORG,118,11,0,11,0,2008,270090118,
PERCH LAKE TWP,120,577,140,422,1,2008,270090120,
RED CLOVER UNORG,125,125,38,81,0,2008,270090125,
