Room,WeekDay,Time,Course,Section,Instructor,Dates
GI324,Monday,1400 - 1450,MATH140 - Applied Calculus,3,Tsegai,01/13/2020 - 05/01/2020
GI324,Tuesday,0800 - 0850,MATH313 - Differential Equations,1,Duncan,01/13/2020 - 05/01/2020
GI324,Tuesday,0800 - 1000,MATH212 - Calculus I,3,FINAL EXAM,05/05/2020 - 05/05/2020
GI324,Tuesday,0900 - 0950,MATH212 - Calculus I,3,"Schmidt
Duncan",01/13/2020 - 05/01/2020
GI324,Tuesday,1000 - 1050,MATH212 - Calculus I,2,Duncan,01/13/2020 - 05/01/2020
GI324,Tuesday,1100 - 1150,MATH312 - Multivariable Calculus,1,Pascual,01/13/2020 - 05/01/2020
GI324,Tuesday,1230 - 1350,CME460 - Introduction to Finite Element Analysis,1,Pascual,01/13/2020 - 05/01/2020
GI324,Wednesday,0800 - 1000,MATH212 - Calculus I,2,FINAL EXAM,05/06/2020 - 05/06/2020
GI324,Wednesday,1030 - 1230,MATH140 - Applied Calculus,3,FINAL EXAM,05/06/2020 - 05/06/2020
GI324,Wednesday,1300 - 1350,STAT110 - Fundamentals of Statistics,2,Johnson,01/13/2020 - 05/01/2020
GI324,Wednesday,1400 - 1450,MATH140 - Applied Calculus,3,Tsegai,01/13/2020 - 05/01/2020
GI324,Thursday,0800 - 0850,MATH313 - Differential Equations,1,Duncan,01/13/2020 - 05/01/2020
GI324,Thursday,0800 - 1000,MATH312 - Multivariable Calculus,1,FINAL EXAM,05/07/2020 - 05/07/2020
GI324,Thursday,0900 - 0950,MATH212 - Calculus I,3,"Schmidt
Duncan",01/13/2020 - 05/01/2020
GI324,Thursday,1000 - 1050,MATH212 - Calculus I,2,Duncan,01/13/2020 - 05/01/2020
GI324,Thursday,1100 - 1150,MATH312 - Multivariable Calculus,1,Pascual,01/13/2020 - 05/01/2020
GI324,Thursday,1230 - 1350,CME460 - Introduction to Finite Element Analysis,1,Pascual,01/13/2020 - 05/01/2020
GI324,Friday,0800 - 0850,MATH314 - Linear Algebra for Differential Equations,1,Duncan,01/13/2020 - 05/01/2020
GI324,Friday,0900 - 0950,MATH212 - Calculus I,3,"Schmidt
Duncan",01/13/2020 - 05/01/2020
GI324,Friday,1000 - 1050,MATH212 - Calculus I,2,Duncan,01/13/2020 - 05/01/2020
GI324,Friday,1100 - 1150,MATH312 - Multivariable Calculus,1,Pascual,01/13/2020 - 05/01/2020
GI324,Friday,1300 - 1350,STAT110 - Fundamentals of Statistics,2,Johnson,01/13/2020 - 05/01/2020
GI324,Friday,1400 - 1450,MATH140 - Applied Calculus,3,Tsegai,01/13/2020 - 05/01/2020
GI325,Monday,0800 - 0850,MATH308 - Modern Geometry,1,Pascual,01/13/2020 - 05/01/2020
GI325,Monday,0800 - 1000,MATH308 - Modern Geometry,1,FINAL EXAM,05/04/2020 - 05/04/2020
GI325,Monday,0900 - 0950,MATH327 - Foundations of Mathematics,1,,01/13/2020 - 05/01/2020
GI325,Monday,1000 - 1050,MATH213 - Calculus II,1,Windsperger,01/13/2020 - 05/01/2020
GI325,Monday,1100 - 1150,MATH213 - Calculus II,2,Errthum,01/13/2020 - 05/01/2020
GI325,Monday,1300 - 1350,FIN335 - Forecasting Methods,1,Deppa,01/13/2020 - 05/01/2020
GI325,Monday,1300 - 1500,FIN335 - Forecasting Methods,1,FINAL EXAM,05/04/2020 - 05/04/2020
GI325,Monday,1400 - 1450,MATH212 - Calculus I,4,Errthum,01/13/2020 - 05/01/2020
GI325,Monday,1500 - 1620,MATH342 - Advanced Linear Algebra,1,Wangberg,01/13/2020 - 05/01/2020
GI325,Monday,1530 - 1730,MATH342 - Advanced Linear Algebra,1,FINAL EXAM,05/04/2020 - 05/04/2020
GI325,Tuesday,0800 - 0850,MATH308 - Modern Geometry,1,Pascual,01/13/2020 - 05/01/2020
GI325,Tuesday,0800 - 1000,MATH327 - Foundations of Mathematics,1,FINAL EXAM,05/05/2020 - 05/05/2020
GI325,Tuesday,0900 - 0950,MATH327 - Foundations of Mathematics,1,Debnath,01/13/2020 - 05/01/2020
GI325,Tuesday,1000 - 1050,MATH213 - Calculus II,1,Windsperger,01/13/2020 - 05/01/2020
GI325,Tuesday,1100 - 1150,MATH213 - Calculus II,2,Errthum,01/13/2020 - 05/01/2020
GI325,Tuesday,1230 - 1350,CS444 - Human Computer Interaction,1,Anderson,01/13/2020 - 05/01/2020
GI325,Tuesday,1400 - 1450,MATH212 - Calculus I,4,Errthum,01/13/2020 - 05/01/2020
GI325,Wednesday,0800 - 1000,MATH213 - Calculus II,1,FINAL EXAM,05/06/2020 - 05/06/2020
GI325,Wednesday,1030 - 1230,MATH212 - Calculus I,4,FINAL EXAM,05/06/2020 - 05/06/2020
GI325,Wednesday,1300 - 1350,FIN335 - Forecasting Methods,1,Deppa,01/13/2020 - 05/01/2020
GI325,Wednesday,1400 - 1450,MATH212 - Calculus I,4,Errthum,01/13/2020 - 05/01/2020
GI325,Wednesday,1500 - 1620,MATH342 - Advanced Linear Algebra,1,Wangberg,01/13/2020 - 05/01/2020
GI325,Thursday,0800 - 0850,MATH308 - Modern Geometry,1,Pascual,01/13/2020 - 05/01/2020
GI325,Thursday,0800 - 1000,MATH213 - Calculus II,2,FINAL EXAM,05/07/2020 - 05/07/2020
GI325,Thursday,0900 - 0950,MATH327 - Foundations of Mathematics,1,Debnath,01/13/2020 - 05/01/2020
GI325,Thursday,1000 - 1050,MATH213 - Calculus II,1,Windsperger,01/13/2020 - 05/01/2020
GI325,Thursday,1100 - 1150,MATH213 - Calculus II,2,Errthum,01/13/2020 - 05/01/2020
GI325,Friday,0800 - 0850,MATH308 - Modern Geometry,1,Pascual,01/13/2020 - 05/01/2020
GI325,Friday,0900 - 0950,MATH327 - Foundations of Mathematics,1,,01/13/2020 - 05/01/2020
GI325,Friday,1000 - 1050,MATH213 - Calculus II,1,Windsperger,01/13/2020 - 05/01/2020
GI325,Friday,1100 - 1150,MATH213 - Calculus II,2,Errthum,01/13/2020 - 05/01/2020
GI325,Friday,1300 - 1350,FIN335 - Forecasting Methods,1,Deppa,01/13/2020 - 05/01/2020
GI325,Friday,1400 - 1450,MATH212 - Calculus I,4,Errthum,01/13/2020 - 05/01/2020
